Randomized,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,100,0:00:01.000233,161,145,2,0.2,-,
	BranchAndBound,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.000560,294,150,18,-,-,
RatioSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.000334,170.0,154.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.000344,170.0,154.0,2.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.000358,287.0,143.0,18.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,0:00:00.061716,287.0,143,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,0:00:00.059400,294,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.059686,294,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.065583,293.98893333333336,150,18,-,-,
GeneticProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,-,0:00:00.014186,1201,961,30,10,-,
AntColony,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,50,0:00:00.073019,204,132,9,200,0.75,
Randomized,artificial/01_knap_sc_75_150_19.csv,75,150,294,6 days,100,0:00:10.000280,166,150,2,0.2,-,
